event_id,ts_sensor,ts_fog_send,ts_fog_res,ts_cloud,lat_fog,lat_cloud,lat_e2e
9283bc41-67f0-4b9b-afbc-0a10e6971084,1767027617356,1767027617460,1767027617508,1767027619849,48,2341,2493
d4eee43a-a0fc-486b-b422-bb5a1b6f0931,1767027619372,1767027619475,1767027619571,1767027622087,96,2516,2715
b93a7f8f-f35b-4e99-b777-cb04aac7d128,1767027621373,1767027621477,1767027621565,1767027624108,88,2543,2735
faa9c212-8684-4660-b3e4-6409b8a89d77,1767027623371,1767027623477,1767027623564,1767027625812,87,2248,2441
df98f513-f80e-4e4c-97a8-a0c6b33a7a0a,1767027625394,1767027625498,1767027625581,1767027628086,83,2505,2692
8ad87d0d-39a5-4259-982e-977c58fb93fa,1767027627404,1767027627509,1767027627593,1767027629861,84,2268,2457
cd9e0e28-f223-4de6-9b8f-865827040e8f,1767027629417,1767027629521,1767027629608,1767027631928,87,2320,2511
813a36bc-29e4-40fe-a7d7-56794ab27d84,1767027631438,1767027631543,1767027631641,1767027633910,98,2269,2472
e48dae5a-bb5e-4f93-a12f-bf460a5f4afe,1767027633456,1767027633561,1767027633648,1767027635907,87,2259,2451
63a64520-fcc0-40c2-a956-e9803dc50794,1767027635485,1767027635589,1767027635686,1767027637864,97,2178,2379
fd67055a-6b8a-439a-b2f7-2964b2caaa5f,1767027637502,1767027637606,1767027637690,1767027639872,84,2182,2370
12b6c6b3-98d9-41b8-a845-a285b2a65d7c,1767027639519,1767027639624,1767027639708,1767027642240,84,2532,2721
aaaa7321-2eb6-46e1-8e7c-c9c1180ec52b,1767027641531,1767027641635,1767027641722,1767027643878,87,2156,2347
b5a3aaba-5dfe-480f-b1dc-f27a6ff84689,1767027643541,1767027643645,1767027643739,1767027646119,94,2380,2578
91e51dcf-723b-482c-9ff7-94e7e0ba8c47,1767027645546,1767027645651,1767027645749,1767027647879,98,2130,2333
6bcf2276-17dc-46b1-b1d8-481f9d940c79,1767027647548,1767027647651,1767027647778,1767027650159,127,2381,2611
31f6bbec-f576-443e-bda0-7e5c2a9906a2,1767027649566,1767027649671,1767027649764,1767027651899,93,2135,2333
b0e1f90a-7090-4d47-9fc8-6307d74364d5,1767027651578,1767027651683,1767027651766,1767027653937,83,2171,2359
7014728b-4edc-4e02-b4d1-c981fdb706f5,1767027653581,1767027653685,1767027653777,1767027656164,92,2387,2583
32de05ad-336d-4459-a28a-de9948329736,1767027655586,1767027655690,1767027655789,1767027658718,99,2929,3132
5b8286eb-7a95-4e6d-8307-2297dd24b18b,1767027657587,1767027657691,1767027657767,1767027660261,76,2494,2674
e7c1efab-8455-494b-aa68-fbf59c9154c9,1767027659600,1767027659705,1767027659791,1767027662380,86,2589,2780
f745db2d-d08b-428b-b1ea-8fdaba7a1937,1767027661615,1767027661719,1767027661809,1767027664160,90,2351,2545
3f905526-36c8-4211-a92b-870dbe99292a,1767027663625,1767027663730,1767027663815,1767027666419,85,2604,2794
891e4d1b-93ac-440f-91c5-2bc26e34912a,1767027665631,1767027665736,1767027665853,1767027668401,117,2548,2770
587d3413-38ae-4211-a5d1-27cfc3b6f4b4,1767027667642,1767027667746,1767027667842,1767027670179,96,2337,2537
e55da529-527b-43ce-a4f0-b6796ecb1300,1767027669666,1767027669770,1767027669863,1767027672159,93,2296,2493
04e17577-2ee2-41d7-a5ba-c4cb71c8939a,1767027671674,1767027671778,1767027671860,1767027674379,82,2519,2705
